"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"1024734",7103170680,"96149MB","NY","COM","10/27/2014",38,"VAN","CHEVR","T",54050,90830,90780,"01/01/88888888 12:00:00 PM",62,62,62,356530,"T302","C","0117P","","K","F","299","Kings Hwy","","01/05/0001 12:00:00 PM",408,"h1","","Y","0900A","0700P","WHITE",NA,2011,"",0,"04 3","38-Failure to Display Muni Rec","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5536247",7053790113,"75463MC","NY","COM","07/08/2014",69,"VAN","MITSU","T",10910,34510,34530,"01/01/20141231 12:00:00 PM",14,14,14,355678,"T102","C","0856A","","NY","F","496","9th Ave","","01/05/0001 12:00:00 PM",408,"h1","","Y","0700A","0700P","WH",NA,2012,"",0,"19 6","69-Failure to Disp Muni Recpt","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5976840",8008321325,"3442942","NH","PAS","03/14/2015",14,"4DSD","HONDA","T",76750,44520,12550,"01/01/88880088 12:00:00 PM",52,52,52,357069,"T201","N","0712A","","BX","O","36","W Gun Hill Rd","","01/05/0001 12:00:00 PM",408,"c","","Y","0700A","1000A","WHITE",NA,0,"",0,"I 21","14-No Standing","","","",NA,NA,NA,NA,NA,NA,NA,NA
"4107462",7953928875,"BMM0031","GA","PAS","02/12/2015",16,"4DSD","MITSU","T",26190,50320,68020,"01/01/20141288 12:00:00 PM",40,40,40,361339,"T201","J","0549P","","BX","F","402","E 151st St","","01/05/0001 12:00:00 PM",408,"k2","","Y","0800A","0600P","BLACK",NA,0,"",0,"45 2","16A-No Std (Com Veh) Non-COM","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7012432",5084686243,"QBPROJ","VA","PAS","01/18/2015",7,"SU","GMC","V",0,0,0,"01/05/0001 12:00:00 PM",NA,0,0,0,"","","0332P","","","","","ATLANTIC AVE (W/B) @","FT GREENE PL","01/05/0001 12:00:00 PM",1111,"D","T","","","","BLK",NA,1997,"",0,"","FAILURE TO STOP AT RED LIGHT","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6613716",4003758535,"GFG6932","NY","PAS","09/17/2014",5,"SUBN","BMW","V",0,0,0,"01/05/0001 12:00:00 PM",NA,0,0,0,"","","0442P","","","","","SB NOSTRAND AVE @ LI","NDEN BLVD","01/05/0001 12:00:00 PM",1111,"C","T","","","","GR",NA,2004,"",0,"","BUS LANE VIOLATION","","","",NA,NA,NA,NA,NA,NA,NA,NA
"8752341",7810557981,"ENF3920","NY","PAS","09/22/2014",21,"SUBN","INFIN","T",27190,0,0,"01/01/20150212 12:00:00 PM",7,7,7,355710,"T101","M","0814A","","NY","I","W","Norfolk St","45ft S/of Broome St","01/05/0001 12:00:00 PM",408,"d1","","Y  Y","0800A","0930A","WH",NA,2013,"",0,"G 10","21-No Parking (street clean)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"1298313",8004459262,"GNN6298","NY","PAS","08/26/2014",37,"4DSD","HONDA","T",5880,9330,9380,"01/01/20140830 12:00:00 PM",68,68,68,358908,"T302","D","0321P","0309P","K","F","5520","8th Ave","","01/05/0001 12:00:00 PM",408,"h1","","Y","0800A","0700P","TAN",NA,2014,"312-3114",0,"44 3","37-Expired Muni Meter","","","",NA,NA,NA,NA,NA,NA,NA,NA
"347070",7502276452,"FGD9594","NY","PAS","12/19/2014",70,"4DSD","HONDA","T",56530,38950,20530,"01/01/20141206 12:00:00 PM",84,84,84,358219,"T301","D","0206P","","K","F","254","Livingston St","","01/05/0001 12:00:00 PM",408,"j3","","YYYYYYY","","","SILVE",NA,1998,"",0,"05 3","70A-Reg. Sticker Expired (NYS)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9834572",8026466056,"12196JY","NY","COM","05/08/2015",38,"VAN","CHEVR","T",37290,7300,7740,"01/01/88888888 12:00:00 PM",114,114,114,358573,"T401","C","0928A","","Q","F","25-14","Broadway","","01/05/0001 12:00:00 PM",408,"h1","","Y","0800A","0700P","WHITE",NA,2007,"",0,"26 4","38-Failure to Display Muni Rec","","","",NA,NA,NA,NA,NA,NA,NA,NA
