"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"6593837",7494769286,"GTR8248","NY","PAS","02/11/2016",21,"2DSD","SMART","T",38430,23330,54070,20160930,77,77,77,355665,"T301","L","0817A","","K","F","711","Eastern Pky","",0,408,"d1","","Y YY","0800A","0930A","GY","",2015,"",0,"L 31","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5139161",8161504684,"GSS9819","NY","PAS","12/17/2015",38,"4DSD","TOYOT","T",75530,27530,29830,20161123,84,84,84,358153,"T301","G","1153A","","K","F","24","Schermerhorn St","",0,408,"h1","","Y","0900A","0700P","BL","",2011,"",0,"02 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3901302",7494605186,"GXN5069","NY","PAS","11/06/2015",38,"SUBN","HONDA","T",35480,0,0,20170426,70,70,70,354085,"T302","A","0104P","","K","I","N","E 15th St","60ft E/of Avenue M",0,408,"h1","","YYYYY","0800A","0700P","GY","",2014,"",0,"05 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8742045",4618699413,"CPB6441","NY","PAS","04/14/2016",36,"4DSD","TOYOT","V",0,0,0,0,NA,0,0,0,"","","1217P","","","","","EB GRAND CENTRAL PKW","Y @ 164TH PL",0,1180,"B","T","","","","BK","",2006,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6917608",7055085342,"49906KA","NY","COM","02/01/2016",42,"VAN","FORD","T",17630,24890,10210,20161130,13,13,13,362635,"T102","N","0240P","","NY","O","150","E 32nd St","",0,408,"h1","","YYYYY","0800A","0600P","WH","",2007,"144-3362",0,"21 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8944329",7792714779,"V82AWZ","NJ","PAS","04/09/2016",21,"4DSD","DODGE","T",61090,17540,43290,88888888,115,115,115,349562,"T401","M","0836A","","Q","F","86-09","Roosevelt Ave","",0,408,"d1","","Y","0830A","0900A","GREY","",0,"",0,"O 41","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6606828",7498606872,"GZC3025","NY","PAS","02/11/2016",38,"SUBN","FORD","T",47290,48370,11490,20170706,104,104,104,350334,"T402","R","0247P","","Q","F","66-36","Grand Ave","",0,408,"h1","","Y","0830A","0700P","GY","",2003,"",0,"A 42","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8609394",8271009138,"GYM9393","NY","PAS","04/01/2016",21,"SUBN","CHRYS","T",59530,70030,73110,20170530,81,81,81,345162,"T301","M","0915A","","K","F","572","Macdonough","",0,408,"d1","","Y  Y","0900A","1030A","BK","",2015,"",0,"A 31","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4356064",7418337012,"92818JE","NY","COM","11/03/2015",46,"DELV","FRUEH","T",16620,57520,68140,88888888,47,47,47,362266,"T201","K","0240P","0235P","BX","F","1236","Burke Ave","",20151103,408,"F1","","","","","BROWN","",2001,"",0,"11 2","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10033834",8291507247,"EMG8190","NY","PAS","05/18/2016",38,"2DSD","CHEVR","T",23230,73050,56330,20161117,81,81,81,357082,"T301","O","0221P","","K","F","1338","Broadway","",0,408,"h1","","Y","0900A","0700P","OR","",2010,"",0,"11 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
